system_name,discovery_date,ra_hrs,ra_mins,ra_secs,ra_coord,dec_degrees,dec_arcmin,dec_arcsec,dec_coord,lensgrade,number_images,theta_e,theta_e_err,z_lens,z_lens_err,z_source,z_source_err,vdisp,vdisp_err
B0712+472,1998-02-01,07,16,03,109.014277779,+47,08,50.0,47.1471088888,A,4,0.73,0.01,0.4060,0.001,1.339,0.001,NaN,NaN
SDSSJ1155+6346,2004-03-01,11,55,17.35,178.82228135,+63,46,22.0,+63.77279854,A,2,0.59,NaN,0.176,NaN,2.8890,0.0005,NaN,NaN
HSTJ12531-2914,1995-11-01,12,53,06,193.275,-29,14,30.000,-29.24167,A,4,0.64,NaN,0.69,NaN,NaN,NaN,NaN,NaN
SDSSJ0806+2006,2006-04-01,08,06,23.70,121.59877069,+20,06,31.9,+20.10884795,A,2,0.76,NaN,0.573,NaN,1.5373,0.0003,NaN,NaN
Q1208+101,1992-02-01,12,10,57,182.7375,+09,54,25.6,+9.90711,B,2,1.27,0.01,1.24,0.10,3.803,0.001,NaN,NaN
FBQ1633+3134,2001-02-01,16,33,48,248.454,+31,34,11.90,31.56997,B,2,2.24,0.01,0.68,0.01,1.5183,0.0002,NaN,NaN
SDSSJ1054+2733,2010-04-01,10,54,40.83,163.67016587,+27,33,06.4,+27.55178785,A,2,0.598,NaN,NaN,NaN,1.452,0.002,NaN,NaN
B1600+434,1995-05-01,16,01,40,240.41667,+43,16,47.8,+43.27994,A,2,1.4,0.1,0.4144,0.001,1.589,0.001,NaN,NaN
SDSSJ1353+1138,2006-04-01,13,53,06.34,208.27644261,+11,38,04.7,+11.63464297,A,2,0.71,NaN,0.3,NaN,1.6266,0.0002,NaN,NaN
MG0751+2716,1993-12-01,07,51,41,117.92083,+27,16,31.35,+27.27538,A,4,NaN,NaN,0.35068,0.00009,3.200,0.001,199,28
SDSSJ0832+0404,2008-02-01,08,32,16.99,128.06667,+04,04,05.2,4.06811,A,2,0.95,NaN,0.659,0.001,1.115,0.003,NaN,NaN
RXJ1131-1231,2003-07-01,11,31,51,172.964,-12,31,57,-12.533,A,4,1.834,0.002,0.295,0.001,0.658,0.001,NaN,NaN
HE0512-3329,2003-07-01,05,14,10,78.5450380534,-33,26,22.000,-33.439266389,A,2,0.322,0.001,0.93,0.01,1.58,0.01,NaN,NaN
B0218+357,1993-08-01,02,21,05,35.27083,+35,56,13.78,+35.93716,A,2,0.334,0.001,0.68466,0.00001,0.944,0.001,NaN,NaN
ULASJ1527+0141,2012-01-01,15,27,20.13,231.83388016,+01,41,39.6,1.69433497,A,2,1.35,0.01,NaN,NaN,1.4384,0.0002,NaN,NaN
PMNJ1632-0033,2002-01-01,16,32,57.69,248.240395,-00,33,21.05,-0.55693,B,2,1.83,0.01,1.16,0.01,3.424,0.001,NaN,NaN
SDSSJ1620+1203,2010-04-01,16,20,26.14,245.10892899,+12,03,42.0,12.06167583,A,2,1.353,NaN,0.398,NaN,1.158,0.002,NaN,NaN
SDSSJ0819+5356,2009-05-01,08,19,59.80,124.99920094,+53,56,24.2,+53.94005893,A,2,2.057,NaN,0.29364,0.00005,2.239,0.002,274,16
B0631+519,2005-07-01,06,35,12,98.8,+51,57,01.8,51.9505,A,2,2.8,0.1,0.6196,0.0004,NaN,NaN,NaN,NaN
SDSSJ1138+0314,2008-02-01,11,38,03.73,174.51557327,+03,14,57.8,+3.24939292,A,4,0.664,NaN,0.445,0.001,2.4427,0.0014,NaN,NaN
HSTJ01248+0351,1999-05-01,01,24,45,21.1875,+03,51,06,+3.85167,C,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1021+4913,2006-01-01,10,21,11.02,155.29590876,+49,13,30.4,+49.22509437,A,2,0.59,NaN,0.451,NaN,1.7198,NaN,NaN,NaN
Q1017-207,1993-03-01,10,17,24,154.35,-20,47,00.000,-20.78333,A,2,2.28,0.01,0.78,0.01,2.55,0.01,NaN,NaN
FBQ0951+2635,1998-04-01,09,51,22,147.8418575,+26,35,14.1,26.5880277773,A,2,0.56,NaN,0.26,NaN,1.24,NaN,NaN,NaN
B1555+375,1999-08-01,15,57,11,239.29583,+37,21,35.9,+37.35997,A,4,0.24,0.01,NaN,NaN,NaN,NaN,NaN,NaN
WFI2033-4723,2004-05-01,20,33,42,308.425,-47,23,43.000,-47.39528,A,4,2.33,0.01,0.66,0.01,1.661,0.003,NaN,NaN
MG0414+0534,1989-01-01,04,14,37,63.65417,+05,34,44.3,+5.57897,A,4,2.04,0.01,0.96,0.01,2.64,0.01,NaN,NaN
SDSSJ0904+1512,2010-04-01,09,04,04.15,136.01731951,+15,12,54.5,+15.21514963,A,2,0.529,NaN,NaN,NaN,1.826,0.002,NaN,NaN
RXJ0921+4529,2010-10-01,09,21,12,140.3,+45,29,04.4,+45.48456,B,2,3.48,0.01,0.312,0.01,1.6535,0.0005,NaN,NaN
HE0435-1223,2002-07-01,04,38,14.76,69.5615,-12,17,14.000,-12.28722,A,4,1.21,NaN,0.454,NaN,1.689,NaN,NaN,NaN
SDSSJ1313+5151,2007-11-01,13,13,39.98,198.41660466,+51,51,28.4,+51.8579021,A,2,0.6,NaN,0.194,NaN,1.877,0.002,NaN,NaN
B2319+052,2000-02-01,23,21,40,350.41667,+05,27,36.4,+5.46011,A,2,1.36,0.01,0.62,0.01,NaN,NaN,NaN,NaN
SDSSJ1405+0959,2012-01-01,14,05,15.42,211.31425519,+09,59,31.3,9.99202973,A,2,0.99,NaN,0.66,NaN,1.810,0.001,NaN,NaN
PMNJ0134-0931,2002-01-01,01,34,35,23.64583,-09,31,02.000,-9.51722,A,5,2.29,0.01,0.77,0.01,2.216,0.001,NaN,NaN
SDSSJ1455+1447,2010-04-01,14,55,01.91,223.75798284,+14,47,34.8,+14.79300293,A,2,0.853,NaN,NaN,NaN,1.424,0.001,NaN,NaN
B0445+123,2003-02-01,04,48,21,72.0875,+12,27,55.41,+12.46539,B,2,3.0,0.1,0.5583,0003,NaN,NaN,NaN,NaN
SDSSJ1001+5027,2005-03-01,10,01,28.61,150.3692166,+50,27,56.9,+50.46579941,A,2,1.35,NaN,0.415,NaN,1.839,NaN,NaN,NaN
HSTJ01247+0352,1999-05-01,01,24,44,21.18333,+03,52,00,+3.86667,C,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1330+1810,2008-12-01,13,30,18.64,202.57769261,+18,10,32.1,+18.17559625,A,4,0.97,0.02,0.373,0.001,1.393,0.001,NaN,NaN
HE1113-0641,2008-01-01,11,16,23.5,169.097917,-06,57,39.0,-6.960833,A,4,0.332,0.001,0.7,0.3,1.235,0.001,180,NaN
Q0142-100,1987-10-01,01,45,16.72,26.31967,-09,45,20.59,-9.75572,A,2,2.84,0.01,0.49,0.01,2.719,0.001,NaN,NaN
CY2201-3201,2006-12-01,22,01,32,330.38333,-32,01,44.000,-32.02889,A,2,0.83,0.01,0.32,0.01,3.90,0.01,130,20
SDSSJ0246-0825,2005-11-01,02,46,34.09,41.64207561,-08,25,36.1,-8.42670704,A,2,0.525,NaN,0.723,NaN,1.6859,0.0001,NaN,NaN
B1359+154,1999-06-01,14,01,35.53,210.39803,+15,13,25.61,15.22378,A,6,1.71,0.01,NaN,NaN,3.235,0.001,NaN,NaN
WFI2026-4536,2004-05-01,20,26,10.48,306.54367,-45,36,27,-45.6075,A,4,0.6517,0.0007,NaN,NaN,2.23,0.01,NaN,NaN
LBQS1333+0113,2004-04-01,13,35,34.79,203.89496792,+01,18,05.5,+1.30154919,A,2,0.78,NaN,0.440,NaN,1.571,0.002,NaN,NaN
SDSSJ0919+3423,2009-02-01,09,19,49,139.95417,+34,23,04.0,+34.38444,A,4,6.0,0.1,0.0375,0.002,0.6842,0.0014,NaN,NaN
RXJ0911+0551,1997-01-01,09,11,27,137.8625,+05,50,52.0,+5.84778,A,4,2.47,NaN,0.77,NaN,2.8,NaN,NaN,NaN
HE0230-2130,1999-08-01,02,32,33.72,38.1405,-21,17,26.000,-21.29056,A,4,1.02,NaN,0.526,NaN,2.162,NaN,NaN,NaN
SDSSJ1116+4118,2007-01-01,11,16,11,169.04583,+41,18,21.5,+41.30597,B,2,7.68,0.09,0.25,0.03,2.980,0.005,NaN,NaN
